id,type,measurement,lat,lon,value,AQI_level
000053701,OZONE,PPB,45.8156,-70.8597,29.816255168706796,
000053701,OZONE_AQI,AQI,45.8156,-70.8597,28.06729838225908,good
000053801,OZONE,PPB,45.9075,-71.9492,30.1539573567867,
000053801,OZONE_AQI,AQI,45.9075,-71.9492,28.24131136799629,good
000053901,OZONE,PPB,47.6472,-72.2914,20.982441285110006,
000053901,OZONE_AQI,AQI,47.6472,-72.2914,20.57452074899836,good
000054201,OZONE,PPB,49.8222,-74.9764,28.19549408843325,
000054201,OZONE_AQI,AQI,49.8222,-74.9764,25.68111926699541,good
000054401,NO2_AQI,AQI,45.1167,-74.2833,1.3217282958066403,good
000054401,OZONE,PPB,45.1167,-74.2833,20.738746466753646,
000054401,OZONE_AQI,AQI,45.1167,-74.2833,19.385502872617323,good
000054703,PM2.5,UG/M3,46.35,-72.4333,6.6846855895159525,
000054703,PM25_AQI,AQI,46.35,-72.4333,26.769878359399556,good
000054901,OZONE,PPB,45.3733,-71.2514,27.654921373023285,
000054901,OZONE_AQI,AQI,45.3733,-71.2514,26.413555291871507,good
000055001,OZONE,PPB,46.7686,-75.4319,22.51462137282333,
000055001,OZONE_AQI,AQI,46.7686,-75.4319,21.511141259698963,good
000055501,OZONE,PPB,45.0517,-72.8617,32.57181026501042,
000055501,OZONE_AQI,AQI,45.0517,-72.8617,29.785555382003515,good
000060104,OZONE,PPB,45.4322,-75.6764,25.233237031623254,
000060104,OZONE_AQI,AQI,45.4322,-75.6764,22.880720134266532,good
000060104,PM2.5,UG/M3,45.4322,-75.6764,6.030320106784079,
000060104,PM25_AQI,AQI,45.4322,-75.6764,24.258971619982628,good
000060204,OZONE,PPB,42.3144,-83.0433,27.30789937420984,
000060204,OZONE_AQI,AQI,42.3144,-83.0433,25.02277079066393,good
000060204,PM2.5,UG/M3,42.3144,-83.0433,7.090772106224389,
000060204,PM25_AQI,AQI,42.3144,-83.0433,28.48562006858211,good
000060304,OZONE,PPB,44.219867,-76.521128,30.112229070407537,
000060304,OZONE_AQI,AQI,44.219867,-76.521128,27.488889239899496,good
000060304,PM2.5,UG/M3,44.219867,-76.521128,5.651361268001882,
000060304,PM25_AQI,AQI,44.219867,-76.521128,22.820127368011764,good
000060424,OZONE,PPB,43.6619,-79.3853,24.153472585818196,
000060424,OZONE_AQI,AQI,43.6619,-79.3853,22.00421525511889,good
000060424,PM2.5,UG/M3,43.6619,-79.3853,7.456151290343995,
000060424,PM25_AQI,AQI,43.6619,-79.3853,29.007772294524298,good
000060512,OZONE,PPB,43.2561,-79.8617,26.289932032259642,
000060512,OZONE_AQI,AQI,43.2561,-79.8617,24.042380843388468,good
000060512,PM2.5,UG/M3,43.2561,-79.8617,8.079014153852913,
