Unique_ID,Location_type,Zipcode,name,type,measurement,value,lat,lon,AQI_level
ZC_61115,Zip_code,61115.0,Rockford,PM2.5,UG/M3,9.270623058206343,42.3438,-89.0565,
ZC_57106,Zip_code,57106.0,Sioux Falls,OZONE,PPB,29.11714207340493,43.5117,-96.7899,
ZC_57106,Zip_code,57106.0,Sioux Falls,PM10,UG/M3,13.856688642548178,43.5117,-96.7899,
ZC_1583,Zip_code,1583.0,Worcester,PM25,UG/M3,8.100702972767621,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,PM25_AQI,AQI,32.78300530749443,42.3452,-71.7843,good
ZC_1583,Zip_code,1583.0,Worcester,NO2_AQI,AQI,9.676279676067276,42.3452,-71.7843,good
ZC_6854,Zip_code,6854.0,Westport,OZONE,PPB,28.85528167623859,41.0985,-73.423,
ZC_6854,Zip_code,6854.0,Westport,NO2,PPB,7.406838085130133,41.0985,-73.423,
ZC_8610,Zip_code,8610.0,Rider University,OZONE,PPB,26.199912491772704,40.1997,-74.7288,
ZC_94404,Zip_code,94404.0,Redwood City,OZONE,PPB,21.628777581515124,37.5521,-122.2608,
ZC_94404,Zip_code,94404.0,Redwood City,NO2,PPB,8.299878947243263,37.5521,-122.2608,
ZC_94404,Zip_code,94404.0,Redwood City,CO,PPM,0.3926686865878561,37.5521,-122.2608,
ZC_56387,Zip_code,56387.0,St. Cloud,OZONE,PPB,28.9349098868445,45.5416,-94.2295,
ZC_16505,Zip_code,16505.0,Erie,PM2.5,UG/M3,7.636418001548527,42.1001,-80.1619,
ZC_16505,Zip_code,16505.0,Erie,WS,M/S,1.8600826041673773,42.1001,-80.1619,
ZC_16505,Zip_code,16505.0,Erie,WD,DEGREES,203.0576386542216,42.1001,-80.1619,
ZC_6905,Zip_code,6905.0,Greenwich,OZONE,PPB,34.40487987116083,41.0641,-73.5409,
ZC_3870,Zip_code,3870.0,Portsmouth,PM10,UG/M3,15.171569597836266,42.9927,-70.7712,
ZC_3870,Zip_code,3870.0,Portsmouth,SO2,PPB,1.2427316431301787,42.9927,-70.7712,
ZC_3870,Zip_code,3870.0,Portsmouth,OZONE,PPB,26.76180167981523,42.9927,-70.7712,
ZC_1542,Zip_code,1542.0,Worcester,OZONE_AQI,AQI,29.72922911334408,42.1964,-71.9031,good
ZC_6824,Zip_code,6824.0,Westport,NO2_AQI,AQI,7.060398249211802,41.1388,-73.2568,good
ZC_6824,Zip_code,6824.0,Westport,OZONE_AQI,AQI,27.33603645195625,41.1388,-73.2568,good
ZC_8080,Zip_code,8080.0,Clarksboro,OZONE_AQI,AQI,25.62614757251772,39.7647,-75.1376,good
ZC_33150,Zip_code,33150.0,Miami,PM2.5,UG/M3,6.870706852563994,25.8437,-80.2025,
ZC_33150,Zip_code,33150.0,Miami,RHUM,PERCENT,71.72936808061704,25.8437,-80.2025,
ZC_33150,Zip_code,33150.0,Miami,WD,DEGREES,165.61493456401,25.8437,-80.2025,
ZC_33150,Zip_code,33150.0,Miami,WS,M/S,2.90500968224168,25.8437,-80.2025,
ZC_16648,Zip_code,16648.0,Altoona,PM25,UG/M3,7.7002129243081265,40.4322,-78.3932,
ZC_16648,Zip_code,16648.0,Altoona,PM25_AQI,AQI,30.92111336856368,40.4322,-78.3932,good
ZC_16648,Zip_code,16648.0,Altoona,OZONE_AQI,AQI,24.50061855420994,40.4322,-78.3932,good
ZC_56465,Zip_code,56465.0,Brainerd,OZONE,PPB,28.7558060007236,46.4564,-94.1698,
ZC_6850,Zip_code,6850.0,Westport,NO2_AQI,AQI,7.060398249211802,41.1135,-73.4197,good
ZC_6850,Zip_code,6850.0,Westport,OZONE_AQI,AQI,27.33603645195625,41.1135,-73.4197,good
ZC_48130,Zip_code,48130.0,Ann Arbor,OZONE_AQI,AQI,27.52434070430901,42.3356,-83.883,good
ZC_1527,Zip_code,1527.0,Worcester,TEMP,C,10.145539219493385,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,NOX,PPB,16.167498216969243,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,WS,M/S,3.335674227362861,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,BARPR,MILLIBAR,978.1969110991188,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,WD,DEGREES,210.6928236955022,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,SRAD,WATTS/M2,143.11716459744147,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,PM2.5,UG/M3,8.100063882590488,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,NO,PPB,6.009374327727248,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,RHUM,PERCENT,70.6347170218584,42.1917,-71.759,
ZC_94005,Zip_code,94005.0,San Francisco,PM25,UG/M3,10.598341537104709,37.6827,-122.4009,
ZC_94005,Zip_code,94005.0,San Francisco,OZONE_AQI,AQI,23.594626027754703,37.6827,-122.4009,good
ZC_94005,Zip_code,94005.0,San Francisco,PM25_AQI,AQI,36.64639105144642,37.6827,-122.4009,good
ZC_94005,Zip_code,94005.0,San Francisco,NO2_AQI,AQI,7.864939935960681,37.6827,-122.4009,good
ZC_1583,Zip_code,1583.0,Worcester,NO2,PPB,10.169130138959837,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,CO,PPM,0.2646697809518279,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,SO2,PPB,0.0588472866563445,42.3452,-71.7843,
ZC_94501,Zip_code,94501.0,Oakland,NO2_AQI,AQI,8.466234628490646,37.7665,-122.2498,good
ZC_94501,Zip_code,94501.0,Oakland,PM25,UG/M3,11.476940705135716,37.7665,-122.2498,
ZC_94501,Zip_code,94501.0,Oakland,OZONE_AQI,AQI,19.104508118202585,37.7665,-122.2498,good
ZC_94501,Zip_code,94501.0,Oakland,PM25_AQI,AQI,38.90678061377482,37.7665,-122.2498,good
ZC_32607,Zip_code,32607.0,Gainesville,PM2.5,UG/M3,8.73919535407266,29.6449,-82.4079,
ZC_57107,Zip_code,57107.0,Sioux Falls,OZONE,PPB,29.11714207340493,43.5509,-96.7993,
ZC_57107,Zip_code,57107.0,Sioux Falls,PM10,UG/M3,13.856688642548178,43.5509,-96.7993,
ZC_61115,Zip_code,61115.0,Rockford,PM25_AQI,AQI,35.86333978676141,42.3438,-89.0565,good
ZC_61115,Zip_code,61115.0,Rockford,PM25,UG/M3,9.270018187030823,42.3438,-89.0565,
ZC_94116,Zip_code,94116.0,San Francisco,NO2_AQI,AQI,7.864939935960681,37.7443,-122.4787,good
ZC_94116,Zip_code,94116.0,San Francisco,OZONE_AQI,AQI,23.594626027754703,37.7443,-122.4787,good
ZC_94116,Zip_code,94116.0,San Francisco,PM25,UG/M3,10.598341537104709,37.7443,-122.4787,
ZC_94116,Zip_code,94116.0,San Francisco,PM25_AQI,AQI,36.64639105144642,37.7443,-122.4787,good
ZC_32908,Zip_code,32908.0,Melbourne,PM25_AQI,AQI,32.23888663163301,27.9894,-80.6813,good
ZC_32908,Zip_code,32908.0,Melbourne,OZONE_AQI,AQI,24.85978816227357,27.9894,-80.6813,good
ZC_32908,Zip_code,32908.0,Melbourne,PM25,UG/M3,7.987368538505444,27.9894,-80.6813,
ZC_32908,Zip_code,32908.0,Melbourne,PM10_AQI,AQI,17.164980252928743,27.9894,-80.6813,good
ZC_61108,Zip_code,61108.0,Rockford,PM2.5,UG/M3,9.270623058206343,42.2596,-89.011,
ZC_55720,Zip_code,55720.0,Fond du Lac,PM25_AQI,AQI,-39.01339656556767,46.7695,-92.4492,good
