,Unique_ID,lat,lon
206,S_040191113,32.25,-110.9667
207,S_040210001,32.88649492,-111.79453242
208,S_040213001,33.420601,-111.503304
209,S_040213002,33.418762125,-111.515544425
210,S_040213003,19.598372375,-97.476680275
211,S_040213007,32.508458025,-111.3120769
212,S_040213008,36.1059987,-113.775807275
213,S_040213009,33.336472925,-112.9641238
214,S_040213011,32.890408300000004,-111.569787925
215,S_040213014,32.7572033,-111.55485675
216,S_040213015,32.884761,-112.03705
217,S_040213016,33.118811699999995,-112.1463166
218,S_040217001,33.079182875,-111.739298325
219,S_040217004,33.2314251,-85.81114335000001
220,S_040218001,33.29667968571429,-111.29026306428572
221,S_040230004,31.337384505,-110.93711954
222,S_040258034,34.6119551,-112.463754075
223,S_040278011,32.690276999999995,-114.614441
224,S_050199991,34.18079410000001,-93.08466525
225,S_050350005,35.1967,-90.1911
226,S_051010002,36.25346175,-94.3354935
227,S_051130003,36.8798776,-88.4038243
228,S_051190007,36.34439090000001,-87.09300849
229,S_051191002,34.8306,-92.2594
230,S_051191008,34.6811,-92.3283
231,S_051430005,36.18181326,-94.12033423
232,S_051430006,35.771943275,-90.345166625
233,S_060010007,37.687804127777774,-121.7836086722222
234,S_060010009,37.77064168,-122.215472605
235,S_060010011,37.81518805,-122.28319915
236,S_060010012,37.79412261111111,-122.26214827777775
237,S_060010013,37.8625464,-122.30100459999998
238,S_060010015,37.7009623,-121.89702795
239,S_060012001,37.658216625,-122.0440241
240,S_060016001,37.6427231,-122.1062344
241,S_060050002,39.328751975,-95.739007775
242,S_060070007,39.70831900000001,-121.616817
243,S_060070008,39.7430131,-121.83878683125
244,S_060072002,41.81094213333333,-112.16002883333331
245,S_060074001,39.3534295,-121.68650521428572
246,S_060090001,36.52963614545455,-120.13225483636366
247,S_060111002,39.1889284,-121.99798532727272
248,S_060130002,37.9383,-122.025
249,S_060130006,37.73649705,-99.90271125
250,S_060131002,38.01227218461538,-121.64094219230766
251,S_060131004,37.960956318181815,-122.3566
252,S_060132007,37.758711181818185,-121.9485688
253,S_060170010,38.7285389,-120.8043895
254,S_060170011,38.94118950000001,-119.9755426
255,S_060170012,38.81262460000001,-120.030907475
256,S_060170020,38.957878775000005,-101.2251668
257,S_060190007,36.70584052499999,-119.78183609999996
258,S_060190011,36.78529193421053,-119.81340128947372
259,S_060190242,36.7377981,-119.7871247
260,S_060192008,36.1994,-120.0991
261,S_060192009,37.35956706818181,-104.7424294090909
262,S_060192016,36.7118922,-119.7758241
263,S_060194001,36.60808805,-119.52120505000003
264,S_060195001,36.84974684722223,-119.71540930555555
265,S_060210003,39.33539109090909,-122.07836492727272
266,S_060250005,32.676137100000005,-115.48688734999998
267,S_060250007,32.978316750000005,-115.538512275
