Unique_ID,label,prediction
ZC_94404,21.6287784576416,24.605384826660156
ZC_32139,23.680116653442383,24.127853393554688
ZC_85027,31.262962341308594,27.752037048339844
ZC_20064,28.893848419189453,26.968170166015625
ZC_6708,29.86870574951172,27.48578453063965
ZC_11004,27.179534912109375,26.793712615966797
S_060990006,26.70196533203125,25.07293128967285
ZC_78541,23.803682327270508,25.892345428466797
ZC_2571,30.45090103149414,26.07589340209961
ZC_8106,26.400386810302734,26.287683486938477
ZC_29653,26.239259719848633,25.674819946289062
C_Piru,30.446727752685547,27.751497268676758
S_800151042,27.252857208251953,24.98721694946289
S_061110007,30.633420944213867,28.02472496032715
ZC_2875,27.308311462402344,32.602020263671875
ZC_48390,29.944244384765625,30.51509666442871
S_420690101,24.097557067871094,27.213104248046875
ZC_8731,29.366167068481445,26.800334930419922
ZC_29335,26.239259719848633,25.50090217590332
ZC_22181,28.17561912536621,26.072309494018555
ZC_13436,27.92636489868164,27.146041870117188
ZC_12732,25.37258529663086,26.8861026763916
S_80011G003,32.292354583740234,29.719039916992188
ZC_15126,23.28915786743164,25.15220069885254
S_060250005,31.598209381103516,30.443761825561523
S_391514005,28.88495445251465,29.931442260742188
ZC_61871,29.290014266967773,27.007768630981445
ZC_55720,29.846818923950195,30.167640686035156
ZC_62239,25.270784378051758,26.86001968383789
ZC_89118,36.460716247558594,31.302099227905273
ZC_16057,24.729408264160156,24.545581817626953
ZC_40155,25.772560119628906,27.850757598876953
ZC_45208,26.857805252075195,25.924285888671875
ZC_97403,18.936574935913086,23.923063278198242
ZC_85037,27.151235580444336,22.82083511352539
ZC_5051,23.914806365966797,27.67594337463379
ZC_37822,40.84436798095703,28.337865829467773
C_Hernando,26.13681411743164,25.20636749267578
ZC_95202,22.768274307250977,23.990375518798828
ZC_37373,29.168880462646484,26.265178680419922
S_060392010,30.509662628173828,24.30597686767578
ZC_92317,45.02450180053711,43.384971618652344
ZC_4861,32.334964752197266,30.980134963989258
ZC_77029,22.700632095336914,24.823060989379883
ZC_28260,25.40276336669922,24.809961318969727
ZC_11949,33.58599853515625,27.415878295898438
ZC_45311,26.919269561767578,31.365400314331055
ZC_34211,23.923948287963867,25.071317672729492
S_370210030,24.297388076782227,24.53899383544922
ZC_98039,21.98770523071289,25.613630294799805
ZC_4667,26.06382942199707,26.962644577026367
ZC_17038,18.99723243713379,23.941139221191406
ZC_37801,23.885772705078125,25.645523071289062
S_180710001,30.040908813476562,28.498584747314453
S_290390001,31.34111213684082,30.50745391845703
ZC_44119,33.44960021972656,29.4285831451416
ZC_89406,29.897581100463867,23.989864349365234
ZC_30308,26.558818817138672,24.739030838012695
