uid,lat,lon,name,aqi
3336,55.994145,37.172252,"Zelen_11, Moscow, Moscow, Russia (Зеленоград 11, Москва)",53
4719,55.49124,37.30821,"Troitsk, Moscow, Moscow, Russia ( Троицк, Москва)",38
4717,55.635129,37.658684,"Proletarskiy, Moscow, Moscow, Russia (Пролетарский проспект, Москва)",50
13212,55.67237,37.39663,"Luchistaya str, 28, Moscow, Russia (ул. Лучистая, 28)",101
13213,55.77128,37.60682,"Malaya Dmitrovka str, 18A, Moscow, Russia (ул. Малая Дмитровка, 18А)",113
13214,55.73513,37.57228,"Pogodinskaya, 2, Moscow, Russia (Погодинская, 2)",137
13215,55.81998,37.526537,"Priorova str, 16, Moscow, Russia (ул. Приорова, 16 к1)",127
13208,55.74299,37.58831,"Bol'shoy Levshinskiy pereulok,11, Moscow, Russia (Большой Левшинский переулок,11)",132
11670,55.976936,37.149584,"Zelen_15, Moscow, Moscow, Russia (Зеленоград 16, Москва)",53
10486,55.773757,37.627445,"Suhar, Moscow, Moscow, Russia (Сухаревка, Москва)",78
10487,55.775283,37.68322,"Spartakovskaya, Moscow, Moscow, Russia (Спартаковская пл., Москва)",50
13210,55.7636,37.66295,"Gorokhovskiy pereulok, 4, Moscow, Russia (Гороховский переулок, 4)",117
3331,55.715698,37.6052377,"Shabol, Moscow, Moscow, Russia (Шаболовка, Москва)",15
6935,55.680056,37.584782,"Cheremushki, Moscow, Moscow, Russia (Черемушки, Москва)",30
13219,55.69321,37.35141,"Zvorykina str, 1, Moscow, Russia (ул. Зворыкина 1, к4)",80
6970,55.811801,37.71249,"Glebovskaya, Moscow, Moscow, Russia (Глебовская, Москва)",50
13058,55.658163,37.471434,"Vernad, Moscow, Moscow, Russia (Ак. Анохина, Москва)",50
13059,55.833222,37.525158,"Koptevo, Moscow, Moscow, Russia (Коптевский, Москва)",53
6803,55.535478,37.57936,"Melitopolskaya, Moscow, Moscow, Russia (Мелитопольская, Москва)",38
3334,55.821154,37.612592,"Ostankino, Moscow, Moscow, Russia (Останкино, Москва)",50
13211,55.653223,37.622344,"Kashirsky pass., 10, Moscow, Russia (Каширский проезд, 10)",154
4716,55.723093,37.910381,"Kojuhovo, Moscow, Moscow, Russia (Кожухово, Москва)",38
10489,55.693546,37.455579,"Ochakovskaya, Moscow, Moscow, Russia",63
8666,55.776064,37.475878,"Narod_op, Moscow, Moscow, Russia (Народного ополчения, Москва)",21
13207,55.828169,37.464339,"Beregovaya str, 3, Moscow, Russia (ул. Береговая, 3)",105
13209,55.791338,37.247862,"Centralnaya str, 1, Moscow, Russia (ул. Центральная, 1)",112
12896,55.688043,37.863004,"Zhulebino, Moscow, Moscow, Russia (Жулебино, Москва)",85
10488,55.804364,37.839048,"Parkovaya, Moscow, Moscow, Russia (Мобильная станция Парковая, Москва)",65
13206,55.74717,37.62665,"Balchug str, 5, Moscow, Russia (ул. Балчуг, 5)",122
12895,55.703489,37.397577,"Mkad-52-km-zapad, Moscow, Moscow, Russia",63
12483,55.451097,37.302112,"Troitsk-2, Moscow, Moscow, Russia",38
9016,55.734445,37.857779,"Novokosino, Moscow, Moscow, Russia (Новокосино, Москва)",2
13217,55.777043,37.440135,"Tamansky tupik str, 1, Moscow, Russia (Таманский тупик д. 1 с.3)",112
12802,55.26951,61.39138,"Vakhtangov st, 10, Chelyabinsk, Russia (ул. Вахтангова, 10)",-
12884,55.25504,61.38176,"Mira st, 48а, Chelyabinsk, Russia (ул. Мира, 48а)",-
12883,55.193425,61.439062,"65 Mechanical street, Chelyabinsk, Russia (ул. Механическая, 65)",99
12788,55.17616,61.48267,"Mamina str, 19B, Chelyabinsk, Russia (ул. Мамина, 19Б)",46
12789,55.1866,61.34167,"Pobedy av. 287, Chelyabinsk, Russia (Проспект победы, 287)",59
12739,55.035,82.905,"Sibirskaya str, 30, Novosibirsk, Russia (ул. Сибирская, 30)",125
12734,55.04869,82.90694,"Lineynaya str,33, Novosibirsk, Russia (Ул. Линейная, 33)",104
12731,54.83815,83.17207,"Gorki Akademparka, Novosibirsk, Russia (Поселок ""Горки Академпарка"")",128
12792,54.63393,83.30549,"3, Pushkina, 81a, Iskitim, Russia (Пушкина, 81а/3)",81
